id-US7687934B2 vector-[(0, 0.0008523912), (1, 0.0008523912), (2, 0.0008523912), (3, 0.0008523912), (4, 0.0008523912), (5, 0.0008523912), (6, 0.0008523912), (7, 0.0008523912), (8, 0.0008523912), (9, 0.0008523912), (10, 0.0008523912), (11, 0.7634583), (12, 0.0008523912), (13, 0.0008523912), (14, 0.0008523912), (15, 0.0008523912), (16, 0.0008523912), (17, 0.0008523912), (18, 0.0008523912), (19, 0.0008523912), (20, 0.0008523912), (21, 0.0008523912), (22, 0.0008523912), (23, 0.21778905)]
id-US8890464B2 vector-[(0, 0.0009261468), (1, 0.0009261468), (2, 0.48685142), (3, 0.0009261468), (4, 0.0009261468), (5, 0.0009261468), (6, 0.0009261468), (7, 0.0009261468), (8, 0.0009261468), (9, 0.0009261468), (10, 0.0009261468), (11, 0.0009261468), (12, 0.0009261468), (13, 0.0009261468), (14, 0.0009261468), (15, 0.0009261468), (16, 0.0009261468), (17, 0.0009261468), (18, 0.0009261468), (19, 0.0009261468), (20, 0.0009261468), (21, 0.31360567), (22, 0.0009261468), (23, 0.18009385)]
id-US20160257201A1 vector-[(0, 0.0007442548), (1, 0.0007442548), (2, 0.4474389), (3, 0.0007442548), (4, 0.0007442548), (5, 0.0007442548), (6, 0.0007442548), (7, 0.05561456), (8, 0.13591996), (9, 0.0007442548), (10, 0.0007442548), (11, 0.0007442548), (12, 0.0007442548), (13, 0.0007442548), (14, 0.0007442548), (15, 0.0007442548), (16, 0.0007442548), (17, 0.0007442548), (18, 0.0007442548), (19, 0.0007442548), (20, 0.0007442548), (21, 0.3461415), (22, 0.0007442548), (23, 0.0007442548)]
id-JP2010001945A vector-[(0, 0.0005638202), (1, 0.0005638202), (2, 0.0005638202), (3, 0.0005638202), (4, 0.0005638202), (5, 0.0005638202), (6, 0.0005638202), (7, 0.0005638202), (8, 0.0005638202), (9, 0.0005638202), (10, 0.0005638202), (11, 0.0005638202), (12, 0.71179324), (13, 0.0005638202), (14, 0.0005638202), (15, 0.0005638202), (16, 0.0005638202), (17, 0.0005638202), (18, 0.0005638202), (19, 0.0005638202), (20, 0.0005638202), (21, 0.231447), (22, 0.0005638202), (23, 0.044919543)]
id-US8157034B2 vector-[(0, 0.0009470501), (1, 0.0009470501), (2, 0.0009470501), (3, 0.0009470501), (4, 0.606708), (5, 0.0009470501), (6, 0.26131245), (7, 0.0009470501), (8, 0.0009470501), (9, 0.0009470501), (10, 0.0009470501), (11, 0.0009470501), (12, 0.0009470501), (13, 0.0009470501), (14, 0.0009470501), (15, 0.0009470501), (16, 0.0009470501), (17, 0.0009470501), (18, 0.11209153), (19, 0.0009470501), (20, 0.0009470501), (21, 0.0009470501), (22, 0.0009470501), (23, 0.0009470501)]
id-US20100012402A1 vector-[(0, 0.0013486219), (1, 0.0013486219), (2, 0.0013486219), (3, 0.0013486219), (4, 0.0013486219), (5, 0.0013486219), (6, 0.0013486219), (7, 0.0013486219), (8, 0.0013486219), (9, 0.0013486219), (10, 0.0013486219), (11, 0.0013486219), (12, 0.0013486219), (13, 0.0013486219), (14, 0.0013486219), (15, 0.0013486219), (16, 0.30517444), (17, 0.0013486219), (18, 0.0013486219), (19, 0.0013486219), (20, 0.0013486219), (21, 0.6651559), (22, 0.0013486219), (23, 0.0013486219)]
id-JP2009293445A vector-[(0, 0.00090734474), (1, 0.00090734474), (2, 0.9140116), (3, 0.00090734474), (4, 0.00090734474), (5, 0.00090734474), (6, 0.00090734474), (7, 0.00090734474), (8, 0.00090734474), (9, 0.00090734474), (10, 0.00090734474), (11, 0.00090734474), (12, 0.00090734474), (13, 0.00090734474), (14, 0.00090734474), (15, 0.00090734474), (16, 0.00090734474), (17, 0.00090734474), (18, 0.00090734474), (19, 0.00090734474), (20, 0.06602678), (21, 0.00090734474), (22, 0.00090734474), (23, 0.00090734474)]
id-JP2010000859A vector-[(0, 0.0011623303), (1, 0.0011623303), (2, 0.0011623303), (3, 0.0011623303), (4, 0.0011623303), (5, 0.0011623303), (6, 0.0011623303), (7, 0.0011623303), (8, 0.0011623303), (9, 0.0011623303), (10, 0.0011623303), (11, 0.37017715), (12, 0.0011623303), (13, 0.0011623303), (14, 0.0011623303), (15, 0.0011623303), (16, 0.0011623303), (17, 0.0011623303), (18, 0.0011623303), (19, 0.0011623303), (20, 0.0011623303), (21, 0.60425156), (22, 0.0011623303), (23, 0.0011623303)]
id-JP2010000856A vector-[(0, 0.03630125), (1, 0.0010419957), (2, 0.0010419957), (3, 0.0010419957), (4, 0.0010419957), (5, 0.0010419957), (6, 0.1342885), (7, 0.0010419957), (8, 0.0010419957), (9, 0.0010419957), (10, 0.0010419957), (11, 0.3379753), (12, 0.0010419957), (13, 0.0010419957), (14, 0.0010419957), (15, 0.0010419957), (16, 0.0010419957), (17, 0.0010419957), (18, 0.0010419957), (19, 0.0010419957), (20, 0.0010419957), (21, 0.4705951), (22, 0.0010419957), (23, 0.0010419957)]
id-JP2009298369A vector-[(0, 0.0010447537), (1, 0.0010447537), (2, 0.0010447537), (3, 0.0010447537), (4, 0.2845539), (5, 0.0010447537), (6, 0.0010447537), (7, 0.0010447537), (8, 0.0010447537), (9, 0.0010447537), (10, 0.0010447537), (11, 0.42092413), (12, 0.0010447537), (13, 0.0010447537), (14, 0.0010447537), (15, 0.0010447537), (16, 0.0010447537), (17, 0.0010447537), (18, 0.0010447537), (19, 0.0010447537), (20, 0.0010447537), (21, 0.27258217), (22, 0.0010447537), (23, 0.0010447537)]
